"","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6","u1","u2","u3","u4","u5","u6"
"武内　晋一",3,3,0,3,0,0,4,2,0,1,0,0,0,0,0,1,0,0,1,3,1,1,0,0,1,3,1,2,0,0,3,11,0,1,0,0,2,3,0,1,0,0,0,0,0,0,1,0,1,8,2,1,0,0
"バレンティン",2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,1,1,1,3,1,0,0,0,6,6,1,2,1,0,3,1,0,0,0,0,0,2,1,1,0,0,1,1,3,0,0,0
"八木　亮祐",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"徳山　武陽",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"古野　正人",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
"比屋根　渉",6,9,2,4,0,0,0,5,0,2,1,0,0,1,0,0,0,0,6,22,1,4,0,0,6,15,0,4,1,1,9,23,3,8,2,0,3,6,1,2,0,0,1,14,2,1,1,0,0,6,0,6,0,0
"松井　淳",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0
"西浦　直亨",2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,2,0,0,1,1,0,0,1,1,2,3,1,4,0,0,0,0,0,0,0,0,3,2,0,0,1,0,1,0,1,1,1,0
"川﨑　成晃",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
"藤井　亮太",1,2,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,1,0,1,0,2,3,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,2,0,1,0,0
"デニング",5,7,3,3,2,0,1,3,2,1,1,0,0,0,0,0,2,0,3,13,1,3,1,0,8,24,3,3,3,0,11,19,3,6,1,3,2,10,0,1,1,0,3,7,2,2,1,0,3,8,4,2,0,0
"館山　昌平",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"山中　浩史",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"田中　雅彦",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"谷内　亮太",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"石川　雄洋",18,10,5,7,0,0,11,11,1,5,0,0,1,5,1,3,0,0,3,22,1,7,1,0,9,11,0,4,0,0,19,61,6,22,3,1,2,13,0,10,2,0,4,12,1,5,2,0,3,7,0,3,0,0
"桑原　将志",2,6,0,2,0,0,1,3,0,0,1,0,1,0,1,1,0,0,3,8,3,1,0,0,1,4,0,1,1,0,7,13,0,2,1,0,3,12,0,2,0,0,3,4,1,1,0,0,1,1,0,0,0,0
"梶谷　隆幸",20,28,6,9,3,0,15,27,4,9,3,0,7,3,0,0,0,1,11,23,5,11,6,0,8,17,4,6,2,0,36,82,15,31,13,6,3,16,6,7,3,0,6,14,4,7,2,1,9,7,3,5,0,3
"筒香　嘉智",19,14,5,13,3,4,15,19,3,7,4,5,1,6,1,1,1,2,7,17,8,17,3,1,6,10,5,5,0,0,27,94,26,35,8,6,4,26,1,1,4,0,3,17,1,7,0,2,4,14,5,7,2,1
"ロペス",15,29,4,6,3,2,12,25,5,9,3,1,3,10,1,0,1,0,5,28,5,7,1,4,7,15,4,5,2,3,24,97,12,36,9,7,3,25,2,9,3,1,4,13,2,4,2,2,5,18,1,6,2,2
"バルディリス",11,28,5,4,4,0,10,28,3,8,2,2,2,9,2,2,0,1,3,30,2,9,2,1,3,14,5,8,1,0,16,103,12,17,8,3,6,14,6,12,2,5,2,13,3,8,1,1,4,16,2,6,2,0
"倉本　寿彦",8,15,1,6,0,1,11,9,2,5,0,0,3,2,0,0,0,0,3,12,2,3,0,0,5,11,0,1,0,0,16,50,3,15,1,0,3,8,0,0,0,0,0,2,0,1,0,0,4,13,0,7,2,0
"黒羽根　利規",1,7,0,3,0,0,5,6,1,0,0,0,1,0,0,0,1,0,4,11,1,1,2,0,4,3,2,1,0,0,10,25,2,6,0,0,2,8,1,2,0,0,0,2,3,1,0,1,1,2,1,0,0,0
"久保　康友",2,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,0,4,4,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,0
"井手　正太郎",7,2,0,1,1,0,3,3,0,1,0,1,1,1,0,1,0,0,2,6,0,4,1,0,3,4,0,0,1,0,5,13,2,2,1,0,2,2,1,2,1,2,1,7,0,1,1,1,1,0,0,0,0,0
